Year,Month,Day,Hour,Minute,Second,HYY_META.CO2icos168
2013,01,28,20,00,00,414.9469
2013,01,28,21,00,00,414.7536
2013,01,28,22,00,00,414.2109
2013,01,28,23,00,00,412.5428
2013,01,29,00,00,00,408.5608
2013,01,29,01,00,00,405.3476
2013,01,29,02,00,00,404.1803
2013,01,29,03,00,00,403.8281
2013,01,29,04,00,00,403.55
2013,01,29,05,00,00,403.49333
2013,01,29,06,00,00,403.2464
2013,01,29,07,00,00,402.98
2013,01,29,08,00,00,403.3119
2013,01,29,09,00,00,403.4033
2013,01,29,10,00,00,403.2931
2013,01,29,11,00,00,403.41
2013,01,29,12,00,00,403.2213
2013,01,29,13,00,00,403.0481
2013,01,29,14,00,00,403.0082
2013,01,29,15,00,00,403.2199
2013,01,29,16,00,00,403.3848
2013,01,29,17,00,00,403.3835
2013,01,29,18,00,00,403.3913
2013,01,29,19,00,00,403.67767
2013,01,29,20,00,00,403.9366
2013,01,29,21,00,00,404.098
2013,01,29,22,00,00,404.5626
2013,01,29,23,00,00,405.5254
2013,01,30,00,00,00,407.088
2013,01,30,01,00,00,408.2929
2013,01,30,02,00,00,409.2401
2013,01,30,03,00,00,410.6886
2013,01,30,04,00,00,410.9252
2013,01,30,05,00,00,410.7294
2013,01,30,06,00,00,411.3234
2013,01,30,07,00,00,412.6128
2013,01,30,08,00,00,413.5074
2013,01,30,09,00,00,414.1599
2013,01,30,10,00,00,414.60611
2013,01,30,11,00,00,414.8771
2013,01,30,12,00,00,415.0578
2013,01,30,13,00,00,415.4939
2013,01,30,14,00,00,415.8855
2013,01,30,15,00,00,415.8883
2013,01,30,16,00,00,415.9528
2013,01,30,17,00,00,415.5561
2013,01,30,18,00,00,414.9429
2013,01,30,19,00,00,414.5163
2013,01,30,20,00,00,414.074
2013,01,30,21,00,00,413.8917
2013,01,30,22,00,00,413.8128
2013,01,30,23,00,00,413.00289
2013,01,31,00,00,00,411.0242
2013,01,31,01,00,00,408.8665
2013,01,31,02,00,00,406.5808
2013,01,31,03,00,00,404.8065
2013,01,31,04,00,00,403.7304
2013,01,31,05,00,00,403.0209
2013,01,31,06,00,00,402.6795
2013,01,31,07,00,00,402.4151
2013,01,31,08,00,00,402.313
2013,01,31,09,00,00,402.1729
2013,01,31,10,00,00,402.0848
2013,01,31,11,00,00,401.9151
2013,01,31,12,00,00,401.7028
2013,01,31,13,00,00,401.6478
2013,01,31,14,00,00,401.64944
2013,01,31,15,00,00,401.8215
2013,01,31,16,00,00,402.1592
2013,01,31,17,00,00,402.5656
2013,01,31,18,00,00,402.8039
2013,01,31,19,00,00,402.9165
2013,01,31,20,00,00,403.044
2013,01,31,21,00,00,403.3009
2013,01,31,22,00,00,404.0496
2013,01,31,23,00,00,405.6842
2013,02,01,00,00,00,408.3403
2013,02,01,01,00,00,411.8238
2013,02,01,02,00,00,412.328
2013,02,01,03,00,00,410.6651
2013,02,01,04,00,00,409.8663
2013,02,01,05,00,00,408.93256
2013,02,01,06,00,00,407.5761
2013,02,01,07,00,00,406.6764
2013,02,01,08,00,00,406.099
2013,02,01,09,00,00,405.7205
2013,02,01,10,00,00,405.4528
2013,02,01,11,00,00,404.9624
2013,02,01,12,00,00,404.4642
2013,02,01,13,00,00,403.9719
2013,02,01,14,00,00,402.8967
2013,02,01,15,00,00,402.2015
2013,02,01,16,00,00,402.439
2013,02,01,17,00,00,402.6578
2013,02,01,18,00,00,403.118
2013,02,01,19,00,00,403.31478
2013,02,01,20,00,00,403.6298
2013,02,01,21,00,00,403.1905
2013,02,01,22,00,00,402.5313
